                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      32725 |      36604 |      35551 |      32711 |      31468 |      35546 |      34546 |      34546 |      33404 |      31546 |      30573 |      30404 |      33429 |      33429 |      32929 |      32429 |      32429 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050 |     207050
  IPC                                |       0.16 |       0.18 |       0.17 |       0.16 |       0.15 |       0.17 |       0.17 |       0.17 |       0.16 |       0.15 |       0.15 |       0.15 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525
  Idle time (ns)                     |      63709 |      90857 |      91968 |      91978 |      92393 |      92342 |      92481 |      92691 |      92788 |      92263 |      92395 |      95812 |      94858 |      94610 |      95135 |      95229 |      93297 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525 |     103525
  Idle time (%)                      |      61.5% |      87.8% |      88.8% |      88.8% |      89.2% |      89.2% |      89.3% |      89.5% |      89.6% |      89.1% |      89.2% |      92.5% |      91.6% |      91.4% |      91.9% |      92.0% |      90.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       4276 |       1817 |       1678 |       1586 |       1443 |       1564 |       1556 |       1556 |       1416 |       1454 |       1329 |       1314 |       1315 |       1315 |       1311 |       1307 |       1307 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |        328 |         82 |         70 |         78 |         67 |         58 |         66 |         66 |         52 |         68 |         57 |         54 |         17 |         17 |         21 |         25 |         25 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      7.12% |      4.32% |      4.00% |      4.69% |      4.44% |      3.58% |      4.07% |      4.07% |      3.54% |      4.47% |      4.11% |      3.95% |      1.28% |      1.28% |      1.58% |      1.88% |      1.88% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
