                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |      61519 |     672928 |     672993 |     669419 |     668391 |     668404 |     668392 |     668367 |     668383 |     668375 |     668375 |     668375 |     668375 |     668378 |     668378 |     668362 |     668378 |     668378 |     668362 |     668378 |     668362 |     668386 |     668378 |     668362 |     668386 |     668378 |     668362 |     668378 |     668362 |     668378 |     668362 |     668378
  Cycles                             |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258 |    2226258
  IPC                                |       0.03 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129 |    1113129
  Idle time (ns)                     |    1064958 |     385811 |     386854 |     225149 |     231515 |     304217 |     245113 |     237266 |     217627 |     178554 |     221443 |     220385 |     182082 |     179952 |     190735 |     187420 |     168014 |     168360 |     167408 |     167626 |     168080 |     173163 |     172660 |     174526 |     169766 |     170856 |     172144 |     171591 |     169216 |     169790 |     169329 |     169554
  Idle time (%)                      |      95.7% |      34.7% |      34.8% |      20.2% |      20.8% |      27.3% |      22.0% |      21.3% |      19.6% |      16.0% |      19.9% |      19.8% |      16.4% |      16.2% |      17.1% |      16.8% |      15.1% |      15.1% |      15.0% |      15.1% |      15.1% |      15.6% |      15.5% |      15.7% |      15.3% |      15.3% |      15.5% |      15.4% |      15.2% |      15.3% |      15.2% |      15.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8558 |      70517 |      70514 |      70066 |      69938 |      69939 |      69938 |      69938 |      69938 |      69940 |      69940 |      69940 |      69940 |      69937 |      69937 |      69938 |      69937 |      69937 |      69938 |      69937 |      69938 |      69937 |      69937 |      69938 |      69937 |      69937 |      69938 |      69937 |      69938 |      69937 |      69938 |      69937
  num incorrect                      |        248 |       2743 |       2752 |       2702 |       2683 |       2685 |       2683 |       2680 |       2682 |       2679 |       2679 |       2679 |       2679 |       2681 |       2681 |       2678 |       2681 |       2681 |       2678 |       2681 |       2678 |       2682 |       2681 |       2678 |       2682 |       2681 |       2678 |       2681 |       2678 |       2681 |       2678 |       2681
  misprediction rate                 |      2.82% |      3.74% |      3.76% |      3.71% |      3.69% |      3.70% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69% |      3.69%
  mpki                               |       4.03 |       4.08 |       4.09 |       4.04 |       4.01 |       4.02 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01 |       4.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       9828 |     100228 |     100228 |      99828 |      99711 |      99713 |      99711 |      99701 |      99707 |      99702 |      99702 |      99702 |      99702 |      99706 |      99706 |      99700 |      99706 |      99706 |      99700 |      99706 |      99700 |      99710 |      99706 |      99700 |      99710 |      99706 |      99700 |      99706 |      99700 |      99706 |      99700 |      99706
    num misses                       |         31 |         46 |         46 |         45 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37 |         37
    miss rate                        |      0.32% |      0.05% |      0.05% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.50 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      29428 |     252899 |     252901 |     251517 |     251071 |     251076 |     251071 |     251068 |     251070 |     251072 |     251071 |     251071 |     251071 |     251068 |     251068 |     251066 |     251068 |     251069 |     251066 |     251068 |     251066 |     251069 |     251068 |     251066 |     251069 |     251069 |     251066 |     251068 |     251066 |     251068 |     251066 |     251068
    num misses                       |        218 |         82 |         84 |         66 |         44 |         44 |         44 |         44 |         44 |         45 |         45 |         44 |         44 |         56 |         44 |         44 |         44 |         44 |         44 |         45 |         45 |         44 |         44 |         45 |         44 |         44 |         44 |         45 |         45 |         45 |         44 |         44
    miss rate                        |      0.74% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       3.54 |       0.12 |       0.12 |       0.10 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.08 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        249 |        128 |        130 |        111 |         81 |         81 |         81 |         81 |         81 |         82 |         82 |         81 |         81 |         93 |         81 |         81 |         81 |         81 |         81 |         82 |         82 |         81 |         81 |         82 |         81 |         81 |         81 |         82 |         82 |         82 |         81 |         81
    num misses                       |         99 |        117 |        117 |        110 |         80 |         80 |         80 |         80 |         80 |         81 |         81 |         80 |         80 |         80 |         80 |         80 |         80 |         80 |         80 |         81 |         80 |         80 |         80 |         80 |         80 |         80 |         80 |         80 |         81 |         81 |         80 |         80
    miss rate                        |     39.76% |     91.41% |     90.00% |     99.10% |     98.77% |     98.77% |     98.77% |     98.77% |     98.77% |     98.78% |     98.78% |     98.77% |     98.77% |     86.02% |     98.77% |     98.77% |     98.77% |     98.77% |     98.77% |     98.78% |     97.56% |     98.77% |     98.77% |     97.56% |     98.77% |     98.77% |     98.77% |     97.56% |     98.78% |     98.78% |     98.77% |     98.77%
    mpki                             |       1.61 |       0.17 |       0.17 |       0.16 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9828 |     100228 |     100228 |      99828 |      99711 |      99713 |      99711 |      99701 |      99707 |      99702 |      99702 |      99702 |      99702 |      99706 |      99706 |      99700 |      99706 |      99706 |      99700 |      99706 |      99700 |      99710 |      99706 |      99700 |      99710 |      99706 |      99700 |      99706 |      99700 |      99706 |      99700 |      99706
    num cache misses                 |        218 |        506 |        506 |        480 |        437 |        437 |        437 |        433 |        436 |        434 |        434 |        434 |        434 |        435 |        435 |        432 |        435 |        435 |        432 |        435 |        432 |        436 |        435 |        432 |        436 |        435 |        432 |        435 |        432 |        435 |        432 |        435
    miss rate                        |      2.22% |      0.50% |      0.50% |      0.48% |      0.44% |      0.44% |      0.44% |      0.43% |      0.44% |      0.44% |      0.44% |      0.44% |      0.44% |      0.44% |      0.44% |      0.43% |      0.44% |      0.44% |      0.43% |      0.44% |      0.43% |      0.44% |      0.44% |      0.43% |      0.44% |      0.44% |      0.43% |      0.44% |      0.43% |      0.44% |      0.43% |      0.44%
    mpki                             |       3.54 |       0.75 |       0.75 |       0.72 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29428 |     252899 |     252901 |     251517 |     251071 |     251076 |     251071 |     251068 |     251070 |     251072 |     251071 |     251071 |     251071 |     251068 |     251068 |     251066 |     251068 |     251069 |     251066 |     251068 |     251066 |     251069 |     251068 |     251066 |     251069 |     251069 |     251066 |     251068 |     251066 |     251068 |     251066 |     251068
    num cache misses                 |       1038 |       6794 |       6870 |       8730 |       7535 |       7290 |       7197 |       7355 |       8007 |       9551 |       7953 |       7951 |       9879 |       9921 |       9794 |       8522 |      10740 |      10807 |      10886 |      10827 |      10762 |      10777 |      10808 |      10907 |      10565 |      10873 |      10903 |      10915 |      10381 |      10652 |      10642 |      10651
